Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
El Salvador,North America,6487372,9978,,267,,5732,,3979,334,1538,41,194655,30005,Americas
Venezuela,South America,28432760,9707,,93,,2671,,6943,25,341,3,1386563,48766,Americas
Norway,Europe,5422695,8984,,253,,8138,,593,1,1657,47,380082,70091,Europe
Malaysia,Asia,32379180,8725,,122,,8520,,83,4,269,4,850423,26265,WesternPacific
Senegal,Africa,16754844,8198,,150,,5514,,2534,34,489,9,91337,5451,Africa
North Macedonia,Europe,2083371,8197,,385,,4326,,3486,55,3934,185,78133,37503,Europe
DRC,Africa,89622832,8075,,190,,3620,,4265,,90,2,,,Africa
Costa Rica,North America,5095683,8036,,34,3,2304,,5698,30,1577,7,59749,11725,Americas
Ethiopia,Africa,115036441,7766,,128,,2430,,5208,35,68,1,250604,2178,Africa
Bulgaria,Europe,6946265,7411,,276,,3517,,3618,29,1067,40,179675,25866,Europe
Finland,Europe,5541042,7295,,329,,6800,,166,1,1317,59,278800,50315,Europe
Bosnia and Herzegovina,Europe,3279981,6981,,226,,3179,,3576,4,2128,69,111536,34005,Europe
Haiti,North America,11406990,6727,,141,2,3022,98,3564,,590,12,14544,1275,Americas
Tajikistan,Asia,9543387,6596,,55,,5278,,1263,,691,6,,,Europe
Palestine,Asia,5104544,6566,,39,,1084,,5443,,1286,8,122555,24009,EasternMediterranean
French Guiana,South America,298875,6170,,29,,3210,,2931,30,20644,97,9895,33107,
Guinea,Africa,13141461,6141,,37,,4862,,1242,24,467,3,14407,1096,Africa
Gabon,Africa,2227110,6026,,46,,3475,,2505,11,2706,21,49853,22385,Africa
Mauritania,Africa,4652686,5446,,147,,2501,,2798,5,1171,32,13842,2975,Africa
Madagascar,Africa,27708875,5080,,37,,2494,,2549,59,183,1,29539,1066,Africa
Djibouti,Africa,988444,4977,,56,,4729,,192,,5035,57,51543,52146,EasternMediterranean
